subject,interests_responses,tag
LN8REBYY,learning,1
LN8REBYY,keeping UTD,2
LN8REBYY,laughing,3
LN8REBYY,perspective,4
LN8REBYY,exposure,5
LN8REBYY,to,6
LN8REBYY,other,7
LN8REBYY,worlds,8
LN8REBYY,deepen,9
LN8REBYY,knowedge,10
S87Q76NA,sports,1
S87Q76NA,fantasy,2
S87Q76NA,board games,3
S87Q76NA,card games,4
S87Q76NA,frisbee,5
S87Q76NA,politics,6
FJYUEQN8,Games,1
FJYUEQN8,Video Games,2
FJYUEQN8,Movies,3
FJYUEQN8,TV Shows,4
FJYUEQN8,Food,5
FJYUEQN8,Cuisine types,6
FJYUEQN8,Stories,7
FJYUEQN8,Blog-type posts,8
FJYUEQN8,Jokes,9
ZHMH16C4,news,1
ZHMH16C4,politics,2
ZHMH16C4,environment,3
ZHMH16C4,women's rights,4
ZHMH16C4,parenting,5
ZHMH16C4,cooking,6
ZHMH16C4,recipes,7
ZHMH16C4,Mississippi politics,8
ZHMH16C4,culture,9
ZHMH16C4,human interest,10
ZHMH16C4,spirituality,11
ZHMH16C4,storytelling,12
ZHMH16C4,travel,13
ZHMH16C4,poetry,14
ZHMH16C4,history,15
37UDZTHY,stocks and recent market trends,1
KZ9S5MPC,me_irl,1
KZ9S5MPC,entertainment,2
KZ9S5MPC,learning,3
KZ9S5MPC,fantasy,4
KZ9S5MPC,news,5
KZ9S5MPC,foreign affairs,6
KZ9S5MPC,famous people,7
KZ9S5MPC,comedy,8
KZ9S5MPC,health,9
KZ9S5MPC,book recommendations,10
KZ9S5MPC,card games,11
KZ9S5MPC,video games,12
KZ9S5MPC,recommendations,13
KZ9S5MPC,TV shows,14
6D26ZXC8,LGBT activism,1
6D26ZXC8,Learning,2
6D26ZXC8,Language Learning,3
6D26ZXC8,Opinions,4
6D26ZXC8,Information on recent news,5
6D26ZXC8,Escapism,6
6D26ZXC8,Gaining a new pespective,7
2BD455O0,current events,1
2BD455O0,political activism,2
2BD455O0,transgender experience,3
2BD455O0,nonbinary experience,4
2BD455O0,anime,5
2BD455O0,cartoons,6
2BD455O0,artists,7
2BD455O0,pokemon,8
2BD455O0,sketch comedy,9
2BD455O0,mariokart,10
2BD455O0,vocaloid,11
2BD455O0,trivia,12
2BD455O0,geography,13
T6E9EPOZ,Literature,1
T6E9EPOZ,Writing,2
T6E9EPOZ,Science,3
T6E9EPOZ,Academia,4
T6E9EPOZ,Language learning,5
0GMT2ITP,"inspiration for projects, crafting",1
0GMT2ITP,interesting/human interest stories,2
0GMT2ITP,funny content,3
0GMT2ITP,pop culture content,4
0GMT2ITP,relevant/breaking news stories,5
0GMT2ITP,local stories,6
DUBYYHYX,geopolitics,1
DUBYYHYX,natural science,2
DUBYYHYX,math,3
DUBYYHYX,philosophy,4
DUBYYHYX,neuroscience,5
DUBYYHYX,Arabic,6
DUBYYHYX,linguistics,7
DUBYYHYX,gender theory,8
DUBYYHYX,sociology,9
DUBYYHYX,"rationality, behavior, and choice",10
DUBYYHYX,crafts,11
DUBYYHYX,diy projects,12
DUBYYHYX,tutorials of all kinds,13
DUBYYHYX,cooking/baking,14
DUBYYHYX,creative writing,15
IEOJ1IW3,lore theories,1
IEOJ1IW3,content leaks,2
IEOJ1IW3,discussion posts,3
IEOJ1IW3,answers to questions,4
IEOJ1IW3,statistical data,5
IEOJ1IW3,guides,6
64LRAXDJ,hermit crabs,1
64LRAXDJ,cooking,2
64LRAXDJ,dogs,3
64LRAXDJ,cats,4
64LRAXDJ,art,5
64LRAXDJ,tattoos,6
64LRAXDJ,music,7
64LRAXDJ,news,8
64LRAXDJ,nonprofits,9
64LRAXDJ,conservation,10
64LRAXDJ,volunteering,11
64LRAXDJ,memes,12
64LRAXDJ,clothing,13
64LRAXDJ,animals,14
64LRAXDJ,international news,15
64LRAXDJ,dinosaurs,16
64LRAXDJ,jurassic park,17
64LRAXDJ,mental health awareness,18
TPWBA9PZ,pets,1
TPWBA9PZ,philosophy,2
TPWBA9PZ,book clubs,3
56M8U5A5,baseball,1
56M8U5A5,skiing,2
56M8U5A5,flags and geography,3
56M8U5A5,music,4
56M8U5A5,news and economics,5
O4NB1X6B,news,1
O4NB1X6B,politics,2
O4NB1X6B,movies,3
O4NB1X6B,books,4
O4NB1X6B,economics,5
O4NB1X6B,finance,6
O4NB1X6B,stocks,7
O4NB1X6B,youtube,8
O4NB1X6B,social media,9
O4NB1X6B,travel,10
O4NB1X6B,shopping,11
O4NB1X6B,environment,12
O4NB1X6B,food,13
O4NB1X6B,job,14
O4NB1X6B,tv,15
O4NB1X6B,influencer,16
U7RW6MVC,slice of life,1
U7RW6MVC,blogging,2
U7RW6MVC,opinion,3
U7RW6MVC,routine,4
U7RW6MVC,adhd,5
6XD6NVVO,news,1
6XD6NVVO,fandoms,2
6XD6NVVO,trivia,3
6XD6NVVO,music,4
6XD6NVVO,arts,5
6XD6NVVO,fiction books of all kind,6
VNSY2V6A,history,1
VNSY2V6A,philosophy,2
VNSY2V6A,culture,3
VNSY2V6A,vacations,4
VNSY2V6A,news,5
K6LTYZJH,celebrity news,1
K6LTYZJH,fashion,2
K6LTYZJH,cooking,3
XILQXDX5,neuroscience,1
XILQXDX5,pharmacology,2
XILQXDX5,chemistry,3
XILQXDX5,nature,4
XILQXDX5,environment,5
XILQXDX5,technology,6
XILQXDX5,drug development,7
XILQXDX5,chinese,8
XILQXDX5,video games,9
XILQXDX5,news,10
XILQXDX5,poetry,11
XILQXDX5,tutorials,12
XILQXDX5,educational content,13
XILQXDX5,venting,14
XILQXDX5,therapy,15
XILQXDX5,self-help,16
XILQXDX5,adhd,17
XILQXDX5,depression,18
8JEQ20SU,chinese,1
JEW0DH9D,travel,1
J8N7DCDH,drama,1
J8N7DCDH,news,2
J8N7DCDH,fantasy,3
J8N7DCDH,learning,4
73N2RQWR,fiction,1
73N2RQWR,books,2
73N2RQWR,movies,3
73N2RQWR,tv shows,4
73N2RQWR,reels,5
73N2RQWR,recipes,6
Q3MFUDV9,conversation skills,1
Q3MFUDV9,cultural understanding,2
Q3MFUDV9,foreign perspectives,3
U2N1A8VX,pop culture,1
U2N1A8VX,career insights,2
U2N1A8VX,health and wellness,3
YVQX6LL1,Current events,1
YVQX6LL1,Pop culture,2
YVQX6LL1,College,3
8BL6X7AX,soccer,1
8BL6X7AX,skiing,2
8BL6X7AX,hiking,3
8BL6X7AX,school,4
8BL6X7AX,career,5
HCBTBYHS,art,1
HCBTBYHS,plant-based,2
HCBTBYHS,food,3
HCBTBYHS,Spanish language,4
HCBTBYHS,humor,5
HCBTBYHS,queer,6
HCBTBYHS,nature,7
HCBTBYHS,reviews,8
GNLFFB4P,travel,1
GNLFFB4P,sports,2
GNLFFB4P,food,3
GNLFFB4P,recipes,4
GNLFFB4P,fashion,5
GNLFFB4P,local lifestyle content,6
U4TQC9J3,fiction,1
U4TQC9J3,dreams,2
U4TQC9J3,politics,3
U4TQC9J3,imagery,4
U4TQC9J3,philosophy,5
AWO2EA8Q,medicine especially emergency medicine,1
AWO2EA8Q,musical theater,2
AWO2EA8Q,cooking/baking,3
AWO2EA8Q,nyc,4
AWO2EA8Q,tv shows,5
NXGNLGFN,news,1
NXGNLGFN,sports,2
NXGNLGFN,humor,3
NXGNLGFN,friendship,4
XAA8CS8F,sports,1
XAA8CS8F,post-grad work,2
XAA8CS8F,injury,3
9O2ABUMY,Job Market insight,1
9O2ABUMY,Funny TV moments,2
9O2ABUMY,Learn from other's experiences,3
NHCBLFL1,comedy,1
NHCBLFL1,stories,2
NHCBLFL1,interviews,3
NHCBLFL1,interesting acedemic findings,4
NHCBLFL1,psychogy,5
NHCBLFL1,history,6
NHCBLFL1,science,7
NHCBLFL1,fiction,8
NHCBLFL1,sci fi,9
NHCBLFL1,fantacy,10
NHCBLFL1,romance,11
NHCBLFL1,news,12
W6Z3Y3K6,News,1
W6Z3Y3K6,Politics,2
W6Z3Y3K6,Crafts,3
W6Z3Y3K6,Music,4
W6Z3Y3K6,Science,5
W6Z3Y3K6,Business,6
CI6QQA2Y,humor,1
CI6QQA2Y,message,2
CI6QQA2Y,Entertainment,3
CI6QQA2Y,Applicable to me,4
CI6QQA2Y,smooth flowing,5
CI6QQA2Y,create a visual picture,6
CI6QQA2Y,readability,7
CI6QQA2Y,not full of jargon,8
XJF7RLTQ,culture,1
XJF7RLTQ,gossip,2
XJF7RLTQ,social media trends,3
XJF7RLTQ,slang,4
XJF7RLTQ,grammar,5
XJF7RLTQ,pronounciation,6
0PRAW6DO,personal learning,1
0PRAW6DO,entertainment,2
YMQ1DC06,stories,1
YMQ1DC06,education,2
YMQ1DC06,learning,3
YMQ1DC06,supernatural,4
YMQ1DC06,advice,5
YMQ1DC06,actual events,6
YMQ1DC06,philosophical,7
YMQ1DC06,sociological,8
YMQ1DC06,linguistic,9
YMQ1DC06,reading,10
YMQ1DC06,recommendations,11
YMQ1DC06,different perspectives,12
LUKGQM9Q,Information about niche topics I cannot find an answer too,1
5K82MZW1,fiction,1
5K82MZW1,fantasy,2
5K82MZW1,worldbuilding,3
5K82MZW1,instructional,4
5K82MZW1,nonfiction,5
5K82MZW1,history,6
5K82MZW1,politics,7
5K82MZW1,economics,8
5K82MZW1,leftism,9
5K82MZW1,politics,10
YQ5FHGIU,Culture,1
YQ5FHGIU,Comparative Study,2
YQ5FHGIU,Evolution,3
0QPSDFM3,clothing,1
0QPSDFM3,shopping,2
0QPSDFM3,surfing,3
YP5UHRSA,opinion,1
YP5UHRSA,advice,2
YP5UHRSA,product comparisons,3
YP5UHRSA,greater worldview,4
ZYQ1C8LT,finance,1
ZYQ1C8LT,money,2
ZYQ1C8LT,investing,3
JIMIPV7S,outdoors,1
JIMIPV7S,movies and shows I like,2
JIMIPV7S,history,3
JIMIPV7S,educational content,4
JIMIPV7S,memes,5
